id,name,lat,lng
670,Matola,-25.9667,32.4667
671,Jodhpur,26.2944,73.0278
672,Ogbomoso,8.1333,4.25
673,Shymkent,42.3,69.6
674,Niamey,13.5086,2.1111
675,Taizhou,28.6583,121.4221
676,Managua,12.15,-86.2667
677,Bagam,1.0678,104.0167
678,Shubra al Khaymah,30.1286,31.2422
679,Maceio,-9.6658,-35.735
680,Monrovia,6.3106,-10.8047
681,Wafangdian,39.6271,121.9972
682,Zhongxiang,31.169,112.5853
683,Odesa,46.4775,30.7326
684,Port-au-Prince,18.5425,-72.3386
685,New Orleans,30.0687,-89.9288
686,Villahermosa,17.9892,-92.9281
687,Thu Duc,10.7924,106.7518
688,Volgograd,48.7086,44.5147
689,Mysore,12.3086,76.6531
690,Islamabad,33.6989,73.0369
691,Xinyi,22.3559,110.9369
692,Raipur,21.2379,81.6337
693,Arequipa,-16.3988,-71.5369
694,Port Harcourt,4.75,7
695,Louisville,38.1663,-85.6485
696,Zaoyang,32.1287,112.7581
697,Shuizhai,33.4433,114.8994
698,Xingyi,25.091,104.9011
699,Kota,25.18,75.83
700,Quetta,30.192,67.007
701,Ottawa,45.4247,-75.695
702,Stockholm,59.3294,18.0686
703,Asmara,15.3333,38.9167
704,Freetown,8.4833,-13.2331
705,Vientiane,17.9667,102.6
706,Jerusalem,31.7833,35.2167
707,Bangui,4.3732,18.5628
708,Panama name,9,-79.5
709,Amsterdam,52.3667,4.8833
710,Lome,6.1319,1.2228
711,Libreville,0.3901,9.4544
712,Zagreb,45.8131,15.9772
713,Dushanbe,38.5731,68.7864
714,Lilongwe,-13.9833,33.7833
715,Cotonou,6.402,2.518
716,Colombo,6.9167,79.8333
717,Pretoria,-25.7464,28.1881
718,Winnipeg,49.8844,-97.1464
719,Quebec name,46.8139,-71.2081
720,Oslo,59.9111,10.7528
721,Athens,37.9842,23.7281
722,Bujumbura,-3.3825,29.3611
723,Helsinki,60.1756,24.9342
724,Skopje,41.9833,21.4333
725,Chisinau,47.0228,28.8353
726,Riga,56.9475,24.1069
727,Kingston,17.9714,-76.7931
728,Rabat,34.0253,-6.8361
729,Vilnius,54.6833,25.2833
730,San Salvador,13.6989,-89.1914
731,Djibouti,11.595,43.1481
732,Dublin,53.3497,-6.2603
733,The Hague,52.08,4.31
734,Asuncion,-25.3,-57.6333
735,Lisbon,38.708,-9.139
736,Bratislava,48.1447,17.1128
737,Kitchener,43.4186,-80.4728
738,Tallinn,59.4372,24.745
739,Beirut,33.8869,35.5131
740,Cape Town,-33.925,18.425
741,Tirana,41.33,19.82
742,Wellington,-41.2889,174.7772
743,Dodoma,-6.1835,35.746
744,Halifax,44.6475,-63.5906
745,Bissau,11.8592,-15.5956
746,Canberra,-35.2931,149.1269
747,Juba,4.85,31.6
748,Yamoussoukro,6.8161,-5.2742
749,Victoria,48.4283,-123.3647
750,Maseru,-29.31,27.48
751,Nicosia,35.1725,33.365
752,Windhoek,-22.57,17.0836
753,Port Moresby,-9.4789,147.1494
754,Porto-Novo,6.4833,2.6167
755,Sucre,-19.0431,-65.2592
756,San Jose,9.9333,-84.0833
757,Ljubljana,46.05,14.5167
758,Sarajevo,43.8563,18.4132
759,Nassau,25.0667,-77.3333
760,Bloemfontein,-29.1,26.2167
761,Fort-de-France,14.6104,-61.08
762,New Delhi,28.6139,77.209
763,Gaborone,-24.6569,25.9086
764,Paramaribo,5.8667,-55.1667
765,Dili,-8.5536,125.5783
766,Male,4.175,73.5083
767,Georgetown,6.7833,-58.1667
768,Gibraltar,36.1324,-5.3781
769,Saint-Denis,-20.8789,55.4481
770,Malabo,3.7521,8.7737
771,Podgorica,42.4397,19.2661
772,Manama,26.225,50.5775
773,Port Louis,-20.1667,57.5
774,Willemstad,12.108,-68.935
775,Bern,46.948,7.4474
776,Papeete,-17.5334,-149.5667
777,Luxembourg,49.6106,6.1328
778,Reykjavik,64.1475,-21.935
779,Praia,14.9177,-23.5092
